,Young's Modulus (Skin),Young's Modulus (Adipose),Poissons Ratio (Skin),Poissons Ratio (Adipose),Permeability (Skin),Permeability (Adipose),Feasible,Young's Modulus (Skin)_m,Young's Modulus (Adipose)_m,Poissons Ratio (Skin)_m,Poissons Ratio (Adipose)_m,Permeability (Skin)_m,Permeability (Adipose)_m
33,11387.60364626578,4617.731166651531,0.4891088150979225,0.4884048311523533,3.2028657739638775e-11,8.284672876933132e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
34,11394.246407875446,4374.3145405824,0.4806905243546864,0.48424995936694437,4.244070380617071e-10,3.263179046655712e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
35,11398.691641955771,11542.680206700596,0.4956488264521945,0.49799298620866417,1.9170739457498336e-10,8.553178367074929e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
36,11407.534596855297,8279.318512904048,0.4881911248031532,0.4864487293529136,1.113329988174939e-10,6.319677670387921e-11,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
37,11414.70502223949,14531.386570401637,0.48943690518982047,0.49628711574689083,7.008651425014291e-11,3.8260949878018754e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
38,11415.019268362566,19663.16300147618,0.48344356765087304,0.4917068106376012,7.514353515082382e-10,5.024950296126631e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
39,11422.574974547355,4884.624962396664,0.4804390706608293,0.4894686031312971,5.231351035007838e-10,2.0364558390921775e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
40,11427.922176541822,7516.292234748541,0.491906649228215,0.49516985942713876,8.766829241913904e-10,8.033578001416772e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
41,11431.403659787602,7387.677588866204,0.48401316561506436,0.4898500194691423,4.909912024572262e-10,3.205297741674478e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
42,11436.330612475758,4293.350736540607,0.4883328028101388,0.4841487089450155,8.046619566027218e-10,7.038563758815412e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
43,11438.056457201597,20761.063704212218,0.49046533104362894,0.48908558310489575,7.357641747291023e-10,3.3887370766017873e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
44,11440.128066748484,8536.503829969854,0.49580307978115157,0.4829820531994934,5.980457579485181e-10,3.4373705188681116e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
45,11442.080587148666,5107.449412345886,0.4910343551039696,0.48598616018891333,9.756685715913773e-10,2.2224053323268892e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
46,11443.745033352718,11427.738145819823,0.49459721879834245,0.4880737115489331,4.821312796513077e-10,3.570306007683254e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
47,11447.533863106099,23469.376039615356,0.48180357136234914,0.48570169235989075,7.910739955839368e-11,7.049078270666134e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
48,10146.40653263423,12890.16285921413,0.4833948759536418,0.48492178342317527,6.145337321947203e-10,8.696708986059773e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
49,10146.704725921154,8257.051229476929,0.48399191123247143,0.492959252178669,8.477683198451996e-10,3.56866644024849e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
